Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
1656	-2432.677	-2510.744	78.06641	0.9841096	3.418788
1662	-2436.498	-2513.541	77.04266	1.055736	3.96953
1668	-2427.81	-2505.569	77.75834	1.012819	3.581747
1674	-2421.99	-2498.795	76.8043	0.9089583	4.189006
1680	-2418.434	-2495.586	77.152	0.748864	4.082304
1686	-2427.478	-2504.527	77.0487	0.8070747	4.107981
1692	-2435.228	-2511.731	76.50246	0.7296638	4.461034
1698	-2429.291	-2507.2	77.90914	0.8088206	3.612642
1704	-2431.55	-2509.339	77.78832	0.929646	3.612642
1710	-2423.741	-2501.47	77.72864	0.9747537	3.621098
1716	-2429.283	-2506.331	77.04797	0.804886	4.109642
1722	-2426.603	-2503.699	77.09622	0.7566414	4.109642
1728	-2426.559	-2504.191	77.6316	0.8150936	3.769531
1734	-2436.522	-2513.925	77.40318	0.7370936	3.945564
1740	-2433.718	-2510.25	76.53228	0.8464319	4.378386
1746	-2436.907	-2512.751	75.84416	0.8355216	4.770824
1752	-2439.734	-2516.386	76.65226	1.060985	4.189011
1758	-2441.708	-2519.2	77.49211	0.7928123	3.862613
1764	-2446.514	-2522.814	76.30063	0.694256	4.594376
1770	-2432.131	-2507.932	75.80035	0.624196	4.913079
1776	-2431.074	-2506.831	75.75712	0.6674293	4.913079
1782	-2429.812	-2506.236	76.42391	0.694796	4.524843
1788	-2436.997	-2513.386	76.38846	0.8749797	4.443395
1794	-2433.538	-2510.578	77.04009	0.6475074	4.20357
1800	-2424.426	-2501.121	76.69483	0.9482941	4.228803
1806	-2426.156	-2502.8	76.64491	0.9732119	4.242976
1812	-2435.763	-2512.166	76.40222	0.6829157	4.543708
1818	-2437.19	-2514.254	77.06403	0.8215546	4.091009
1824	-2435.066	-2512.049	76.98331	0.8424868	4.125043
1830	-2438.289	-2513.55	75.26139	0.822957	5.102051
1836	-2446.275	-2521.736	75.46059	0.7056556	5.056631
1842	-2430.441	-2507.876	77.43492	0.8685449	3.851962
1848	-2431.809	-2509.24	77.43078	0.8383648	3.871675
1854	-2430.543	-2507.785	77.24173	1.027418	3.871675
1860	-2430.448	-2506.686	76.23801	0.7369506	4.605555
1866	-2436.947	-2512.459	75.51276	0.690397	5.036147
1872	-2432.197	-2508.562	76.36567	0.8233804	4.485279
1878	-2439.03	-2514.946	75.91637	0.9189173	4.683819
1884	-2428.664	-2505.184	76.52029	0.8283251	4.395374
1890	-2433.263	-2509.868	76.60416	0.8973394	4.309006
1896	-2446.503	-2523.475	76.97232	0.7707942	4.172053
1902	-2439.563	-2516.211	76.64772	0.6682968	4.41376
1908	-2432.072	-2509.157	77.08566	0.9760857	3.990487
1914	-2435.102	-2511.913	76.8109	1.10392	4.074351
1920	-2435.255	-2512.037	76.78213	0.9130497	4.19927
1926	-2426.492	-2502.085	75.59258	0.6563468	5.010732
1932	-2425.358	-2501.258	75.8998	0.8640676	4.723773
1938	-2429.143	-2506.188	77.04476	1.011208	3.993792
1944	-2437.704	-2515.754	78.04971	0.7885979	3.542691
1950	-2433.184	-2510.024	76.84021	0.8025183	4.229027
1956	-2430.947	-2508.068	77.12147	0.8025183	4.069121
1962	-2427.811	-2504.896	77.08498	0.8112409	4.084945
1968	-2435.031	-2511.667	76.636	0.8193241	4.335114
1974	-2438.704	-2515.35	76.64558	0.809745	4.335114
1980	-2434.453	-2511.953	77.50007	0.7652562	3.873867
1986	-2432.444	-2510.005	77.56089	0.9366093	3.740229
1992	-2427.873	-2504.973	77.0999	0.7573845	4.107122
1998	-2433.195	-2509.518	76.32293	0.7205405	4.56711
2004	-2434.889	-2509.997	75.10787	0.8734189	5.159145
2010	-2425.029	-2500.585	75.55573	0.7899602	4.956955
2016	-2421.668	-2497.945	76.27734	0.7588509	4.571193
2022	-2430.495	-2506.801	76.30564	0.9313173	4.458312
2028	-2425.454	-2502.489	77.03547	0.87364	4.077605
2034	-2431.602	-2509.138	77.53612	0.8846587	3.784467
2040	-2436.447	-2513.282	76.83504	0.8764077	4.190037
2046	-2436.935	-2512.849	75.91359	0.8322601	4.733849
2052	-2436.888	-2515.085	78.19641	0.9859065	3.341447
2058	-2431.468	-2508.257	76.78981	0.7994549	4.259328
2064	-2436.325	-2512.906	76.58137	0.8197163	4.365755
2070	-2449.441	-2526.208	76.76635	0.7855677	4.280479
2076	-2435.076	-2510.961	75.8845	0.7909439	4.773187
2082	-2435.457	-2511.385	75.92816	0.6939534	4.802966
2088	-2430.757	-2508.227	77.47066	0.8053387	3.867737
2094	-2431.264	-2508.134	76.86986	0.7356763	4.250108
2100	-2423.503	-2499.5	75.99691	0.8591283	4.6722
2106	-2424.074	-2501.68	77.60601	0.7350527	3.830352
2112	-2426.232	-2502.813	76.58079	0.8490077	4.349542
2118	-2432.571	-2509.569	76.99789	0.8022765	4.139621
2124	-2427.87	-2503.621	75.75114	0.8015936	4.841665
2130	-2427.644	-2504.028	76.38355	0.7216541	4.532429
2136	-2434.089	-2510.266	76.17798	0.6660313	4.678931
2142	-2435.163	-2511.835	76.67197	0.8501546	4.297338
2148	-2443.74	-2519.304	75.564	0.9791526	4.84701
2154	-2433.072	-2509.738	76.66596	0.9478349	4.245426
2160	-2431.991	-2508.524	76.53342	0.8218844	4.391596
2166	-2433.739	-2511.378	77.63938	0.9793653	3.670145
2172	-2431.955	-2507.909	75.95449	0.9154584	4.664408
2178	-2429.356	-2506.318	76.96232	0.8281537	4.145135
2184	-2438.693	-2515.411	76.71735	0.8861316	4.251273
2190	-2446.593	-2522.001	75.40762	0.8151754	5.025243
2196	-2436.705	-2512.636	75.93097	0.6421746	4.830286
2202	-2437.549	-2514.528	76.97841	0.68083	4.219661
2208	-2438.275	-2515.516	77.24073	0.8409752	3.979077
2214	-2430.476	-2507.85	77.3733	0.9652812	3.831775
2220	-2421.049	-2498.235	77.18559	0.9226816	3.963877
2226	-2425.46	-2503.79	78.32949	1.02307	3.241077
2232	-2434.023	-2511.526	77.50204	0.8080282	3.848166
2238	-2432.636	-2509.264	76.62812	0.9514977	4.264791
2244	-2429.033	-2505.495	76.46272	0.7804273	4.454824
2250	-2429.016	-2505.945	76.92891	0.8026657	4.178603
2256	-2438.281	-2515.642	77.36105	0.9418272	3.852298
2262	-2436.013	-2513.141	77.12789	0.8907255	4.015133
2268	-2434.729	-2511.995	77.26667	0.7519432	4.015133
2274	-2431.108	-2508.303	77.19429	0.8746028	3.986401
2280	-2428.204	-2505.928	77.72402	0.92247	3.654082
2286	-2429.101	-2506.673	77.5722	1.074293	3.654082
2292	-2429.999	-2507.073	77.07465	0.8788812	4.052278
2298	-2434.172	-2510.76	76.58752	0.9815861	4.270747
2304	-2431.629	-2507.683	76.05407	0.763189	4.693906
2310	-2424.429	-2500.726	76.29748	0.7496615	4.565045
2316	-2421.33	-2497.434	76.10431	0.7184632	4.690822
2322	-2428.351	-2505.519	77.16785	0.8844132	3.995909
